ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.11030066,0.009924112,0.027905537,0.030298337,0.6957691,0.028388701,0.010531956,0.022338567,0.052248824,0.012294236
1,5,0.01603575,0.008544546,0.016079215,0.02201629,0.05578481,0.8035103,0.0094418535,0.021315271,0.037135307,0.010136637
2,2,0.17745529,0.010706317,0.6672202,0.017763168,0.005959239,0.039180126,0.004744095,0.008274637,0.035333496,0.033363473
3,2,0.05449834,0.040104747,0.5773783,0.12805827,0.019864317,0.021629145,0.016968004,0.006788777,0.09512555,0.039584544
4,0,0.42171946,0.030056931,0.04756653,0.29423562,0.020614142,0.13372296,0.005939715,0.008733576,0.018921508,0.01848958
5,8,0.049793,0.014889674,0.01068778,0.03418873,0.015653111,0.028080698,0.0076706964,0.01956004,0.80595773,0.01351852
6,7,0.04205816,0.017668778,0.040577576,0.017116345,0.040076807,0.034759995,0.00989218,0.7494897,0.025045782,0.023314761
7,6,0.09641861,0.0043827267,0.0073954538,0.040897287,0.0051395604,0.0029561617,0.81934834,0.005928551,0.0062539317,0.011279355
8,7,0.00786499,0.008347742,0.0155670345,0.014689757,0.052801766,0.007008743,0.032213837,0.84340894,0.0121713225,0.005925872
9,7,0.019243341,0.031364992,0.04613203,0.011872314,0.021996431,0.020700127,0.009096072,0.79731965,0.02810235,0.014172597
10,0,0.867124,0.012052299,0.014294645,0.011602876,0.006231511,0.039586257,0.011145597,0.013139069,0.014822348,0.010001413
11,9,0.02181766,0.008082827,0.010849427,0.021912856,0.014548096,0.012230856,0.0076945624,0.023320971,0.017402982,0.86213976
12,1,0.008040387,0.8753487,0.008411729,0.024683308,0.028599525,0.008097686,0.021061921,0.00936839,0.01032676,0.0060616797
13,4,0.0436735,0.020986803,0.03599493,0.051975854,0.632428,0.021524722,0.027625898,0.12598248,0.017440043,0.0223678
14,2,0.020431248,0.012737715,0.5037657,0.3353343,0.009832566,0.02762544,0.01223395,0.031032642,0.021215893,0.025790526
15,4,0.04172894,0.014504115,0.050837755,0.03487238,0.7296833,0.05058022,0.01569476,0.028798256,0.020063955,0.013236397
16,2,0.024695694,0.009759361,0.72703147,0.031148609,0.014411413,0.014864,0.010531875,0.01271891,0.024730006,0.13010868
17,9,0.07752412,0.009689754,0.14824085,0.0076377937,0.005149599,0.035005786,0.0052962364,0.03097787,0.06805844,0.61241955
18,9,0.022808516,0.004308898,0.013699881,0.02949337,0.032233126,0.01352511,0.008345876,0.010959623,0.016355755,0.8482698
19,0,0.87270993,0.015291935,0.014387127,0.01059196,0.006759451,0.03267351,0.0086852405,0.012464789,0.01369086,0.012745212
20,7,0.021084495,0.04764721,0.06315513,0.074135296,0.033359323,0.11046662,0.028537348,0.59070647,0.018581202,0.012326899
21,8,0.14314996,0.063262895,0.031056812,0.1257785,0.036621176,0.024139583,0.035819676,0.024032105,0.49726477,0.0188746
22,3,0.17173056,0.014546921,0.047857888,0.6650566,0.014601073,0.010307019,0.0073685255,0.0070142793,0.012308875,0.04920825
23,5,0.0199574,0.01379776,0.15146516,0.09130727,0.021107757,0.3430227,0.021879049,0.28548166,0.030641556,0.021339614
24,2,0.06140681,0.030198148,0.6667013,0.046462223,0.01072064,0.027470155,0.012151627,0.011666129,0.06937093,0.06385202
25,2,0.020506522,0.006216526,0.7551387,0.072521284,0.011062104,0.038966008,0.00950791,0.02405294,0.0338196,0.028208382
26,2,0.054188386,0.01750958,0.75736135,0.038384557,0.010763192,0.023950439,0.008806945,0.009078158,0.043530744,0.036426578
27,0,0.32755756,0.045547906,0.046041388,0.0072888373,0.18052542,0.0198101,0.17159232,0.011104423,0.004221317,0.18631072
28,7,0.038078316,0.008514484,0.035520844,0.015295175,0.1911996,0.0654879,0.011368477,0.60334545,0.012473978,0.018715758
29,9,0.06377566,0.008163825,0.016057855,0.0149411,0.013466722,0.0097318115,0.0058426885,0.026410984,0.13671514,0.7048942
30,1,0.004992369,0.9135551,0.006240167,0.027647076,0.009076662,0.005243014,0.017830249,0.0056802197,0.0069592716,0.00277601
31,0,0.46434012,0.011930257,0.13800436,0.28818244,0.01743562,0.014449634,0.015316069,0.012769789,0.01711727,0.020454437
32,4,0.29431093,0.025669519,0.028155122,0.019041268,0.40756062,0.08358746,0.012550848,0.04393115,0.039305292,0.045887817
33,3,0.035161734,0.023475602,0.2577698,0.59701455,0.006608732,0.031053197,0.0044129365,0.0052298596,0.018519206,0.020754516
34,5,0.045486003,0.009314201,0.023853082,0.051342178,0.0068791197,0.5675802,0.004687709,0.011648011,0.029728564,0.24948089
35,6,0.0204407,0.022582745,0.009612464,0.024160456,0.034542624,0.015072783,0.8487636,0.0103215845,0.009376267,0.0051268376
36,3,0.019016447,0.030451981,0.077065244,0.6369129,0.14220433,0.010279908,0.02202993,0.019113973,0.034400266,0.008525067
