ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.03383189,0.013878225,0.061804328,0.046777815,0.6481169,0.01940965,0.008566842,0.012104803,0.13705195,0.01845762
1,5,0.021565298,0.0031703725,0.010678203,0.0058941846,0.010359781,0.7949372,0.0035402614,0.10842684,0.02284432,0.01858364
2,2,0.20341375,0.018985206,0.65279144,0.013515218,0.012883725,0.03250851,0.0072944746,0.011470216,0.018071637,0.029065834
3,2,0.015166073,0.05080756,0.5359293,0.047161713,0.01863638,0.02039822,0.010286963,0.012044308,0.27265874,0.016910719
4,0,0.3818514,0.010664352,0.031497695,0.18958478,0.11042195,0.16216046,0.015335766,0.018372443,0.054789755,0.02532147
5,8,0.02442514,0.020478467,0.031252623,0.03090361,0.01817173,0.03010309,0.0071057356,0.042498827,0.78446645,0.010594303
6,7,0.017403854,0.014770458,0.016166823,0.01500306,0.04774952,0.059078056,0.018472109,0.76091653,0.024459623,0.025979985
7,6,0.07117229,0.012355818,0.015377063,0.036138874,0.007494183,0.004015266,0.7167119,0.018978871,0.10355508,0.014200644
8,7,0.005914584,0.016956374,0.015371256,0.03357391,0.05446923,0.019345885,0.01899024,0.8078798,0.013122077,0.01437664
9,7,0.00620918,0.007980535,0.011943697,0.010557015,0.018334648,0.012300287,0.004786383,0.90414155,0.016135396,0.0076113627
10,0,0.7574262,0.017657083,0.047114573,0.020008096,0.023718186,0.04078422,0.010129713,0.015835438,0.045376062,0.021950467
11,9,0.013212581,0.008825145,0.0057146596,0.19335331,0.0065518897,0.013096964,0.004168703,0.014975471,0.007537497,0.73256373
12,1,0.012732599,0.8768565,0.027386077,0.016941208,0.0077965953,0.007811837,0.005485589,0.0048315697,0.028158993,0.011999194
13,4,0.025519172,0.013197221,0.029944396,0.096378915,0.6696559,0.043507718,0.018802881,0.048902113,0.027775291,0.026316386
14,2,0.075662196,0.02844599,0.68834245,0.06775695,0.018806243,0.04030179,0.012756045,0.021614168,0.028439047,0.01787508
15,4,0.045906372,0.009603723,0.028797692,0.0138206575,0.82491124,0.028790664,0.008102955,0.010353723,0.0113880085,0.018325051
16,2,0.013126632,0.014629523,0.7867455,0.0326996,0.013642875,0.013743164,0.008825723,0.007712982,0.03668893,0.07218505
17,9,0.08784854,0.009962781,0.060850896,0.019496659,0.010825064,0.06411464,0.0076238248,0.019260108,0.01746816,0.70254934
18,9,0.016181797,0.0051707504,0.010656418,0.036041398,0.043783113,0.020558342,0.0070883143,0.017694298,0.0114382515,0.83138746
19,0,0.78543675,0.019219257,0.035483647,0.01595863,0.024915628,0.032339796,0.009050872,0.01794277,0.03764326,0.02200945
20,5,0.018505886,0.023075974,0.06703389,0.027097367,0.03075035,0.42928964,0.016070344,0.34326375,0.03210045,0.012812396
21,8,0.009329479,0.009914222,0.023609424,0.04651936,0.005239756,0.0039667794,0.00499981,0.0053326753,0.88464034,0.0064481576
22,3,0.26665032,0.022330595,0.059555862,0.5386485,0.01937276,0.007950564,0.0072249463,0.009497011,0.049882423,0.018887063
23,5,0.07585352,0.014113947,0.04947948,0.008510529,0.017250601,0.64890635,0.011861944,0.13601816,0.020276614,0.017728807
24,2,0.06693564,0.04385462,0.68969613,0.024236567,0.015304482,0.026703278,0.010900298,0.012576834,0.08269485,0.027097318
