ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.021646628,0.0055971784,0.026512202,0.030129239,0.8527482,0.008913113,0.0075652874,0.0075207152,0.028992962,0.010374462
1,5,0.032117024,0.004427949,0.007664989,0.0071335332,0.015863156,0.8939216,0.007647246,0.013012469,0.016495243,0.0017167238
2,2,0.06662105,0.01227489,0.812457,0.02085373,0.004398529,0.013193856,0.0040239757,0.016055625,0.043667853,0.006453596
3,2,0.04416403,0.037809767,0.6330915,0.0389479,0.029949555,0.026209338,0.019430177,0.012139632,0.12732995,0.030928161
4,0,0.30660167,0.04595465,0.015057129,0.22889178,0.033271432,0.18973213,0.014685012,0.032996926,0.097257145,0.035552137
5,8,0.022075674,0.012009845,0.0031017086,0.013771016,0.00858618,0.0074596284,0.0055810655,0.0066648507,0.913856,0.00689403
6,7,0.025688414,0.022764849,0.022366827,0.019416854,0.01593234,0.07883027,0.029360496,0.73126024,0.040261306,0.014118412
7,6,0.045014378,0.0041422113,0.0028067646,0.012493284,0.005076322,0.0028841032,0.90364105,0.009190317,0.0075448477,0.00720665
8,7,0.0017161494,0.0026515552,0.0126185,0.005308461,0.0292079,0.020886442,0.0243362,0.8993721,0.0024294986,0.0014732365
9,7,0.0013985877,0.0065644984,0.0027665852,0.002645006,0.0126463575,0.027642922,0.013027217,0.9032137,0.027860273,0.002234891
10,0,0.9154879,0.0030416471,0.012476212,0.004863014,0.0023740318,0.02509517,0.007358667,0.01985588,0.0077841063,0.0016633505
11,9,0.0057183895,0.004004403,0.012427021,0.048912853,0.0016289741,0.038206503,0.0063972264,0.014594053,0.0074086552,0.86070186
12,1,0.0038845916,0.9490142,0.00073575176,0.00536503,0.013054858,0.003595685,0.0068676276,0.013555552,0.002292049,0.0016347972
13,4,0.010265718,0.027128767,0.026051663,0.053834874,0.53818667,0.04875805,0.030078135,0.23376611,0.014552306,0.017377645
14,2,0.021625822,0.00499237,0.82527333,0.07321257,0.013357072,0.020482915,0.0038071354,0.011585419,0.02099596,0.0046673655
15,4,0.02115607,0.009920022,0.037456505,0.013580545,0.7778444,0.027761055,0.017157817,0.04489173,0.019943547,0.03028828
16,2,0.012496212,0.005999737,0.801362,0.02468654,0.03175542,0.014696319,0.008361208,0.009987692,0.022197993,0.06845689
17,9,0.05526167,0.026986826,0.27914488,0.014498995,0.0031969363,0.08019298,0.0051663513,0.039039448,0.19779736,0.2987145
18,9,0.0060643447,0.0037030631,0.0114348335,0.016949078,0.016177,0.009996168,0.004423438,0.0117587205,0.05443696,0.86505634
19,0,0.93324405,0.0027480454,0.008118594,0.0034674713,0.0021817584,0.021682842,0.0039644036,0.015577803,0.006611515,0.0024034502
20,7,0.01574384,0.03676812,0.037060745,0.0775318,0.037908208,0.018359492,0.056138787,0.5993598,0.11281084,0.008318351
21,8,0.040216845,0.042440303,0.0061425734,0.124752186,0.03285359,0.006668177,0.022380633,0.00912875,0.71205443,0.0033624468
22,3,0.047573403,0.0038652578,0.020443056,0.7612154,0.007186102,0.0035205309,0.0045091487,0.0047018295,0.12161989,0.025365448
23,5,0.13355452,0.0036095332,0.089631855,0.06332067,0.017441662,0.48449537,0.123394564,0.04428627,0.03199698,0.0082685985
24,2,0.025251664,0.009278233,0.82637495,0.013352643,0.014877089,0.026590796,0.006126215,0.018794246,0.035472803,0.023881339
25,2,0.0133651635,0.0020288348,0.9019908,0.023549242,0.020437047,0.017247938,0.0024689361,0.00533682,0.009836797,0.003738521
26,2,0.020448156,0.005417934,0.8340873,0.01237623,0.025425037,0.034615923,0.0067034787,0.011424594,0.038312316,0.0111890845
27,1,0.016452475,0.3318805,0.10268205,0.009485155,0.07524883,0.025507959,0.30610028,0.06766819,0.015275044,0.049699448
28,7,0.027582144,0.012905142,0.030484738,0.015212838,0.09488933,0.044575732,0.0050706714,0.74656266,0.015991768,0.0067249965
29,9,0.02123454,0.009551348,0.015424859,0.007242507,0.010598439,0.028121231,0.0050603203,0.047886822,0.1970215,0.6578584
