ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.074806795,0.015099453,0.039276548,0.03020232,0.67728645,0.039124824,0.017115716,0.031557027,0.058036096,0.017494678
1,5,0.008237591,0.004919467,0.01757663,0.0062734145,0.007764303,0.9103229,0.0022541755,0.013357751,0.012205677,0.017088085
2,2,0.19570214,0.014652932,0.6710593,0.015687417,0.006605452,0.0054753944,0.0080571445,0.015025497,0.049490012,0.018244693
3,2,0.035363343,0.034131605,0.5991693,0.058875695,0.026370797,0.051618617,0.020423809,0.012543434,0.1395038,0.021999646
4,3,0.21802734,0.031933516,0.19946109,0.355172,0.027094092,0.02000941,0.029696546,0.02675381,0.078062505,0.013789709
5,8,0.012141407,0.011827829,0.017791292,0.022228274,0.012590286,0.013608568,0.007447947,0.010250478,0.87341714,0.018696768
6,7,0.02842839,0.014087857,0.025807494,0.016270984,0.030310664,0.017557614,0.019418033,0.79888964,0.027059224,0.022170035
7,6,0.04280825,0.007953556,0.007329123,0.032517433,0.015500335,0.0035521553,0.8704712,0.008746717,0.004591041,0.0065301214
8,7,0.014786107,0.012670806,0.020587374,0.024041701,0.113102324,0.03031057,0.02060708,0.73039997,0.010160023,0.023334019
9,7,0.012078776,0.007834955,0.017930795,0.009621828,0.014540876,0.008048513,0.004513883,0.8933033,0.020030707,0.012096459
10,0,0.8670233,0.010659605,0.021070484,0.017838342,0.004977061,0.018638179,0.020067787,0.011005322,0.016455043,0.012264925
11,9,0.00033945817,7.752137e-05,0.0017551128,3.2224805e-05,0.004581637,0.0010704543,8.094766e-05,0.00012517371,1.5314965e-05,0.99192214
12,1,0.0063321115,0.9004622,0.009333979,0.012284177,0.02179371,0.012047964,0.010635952,0.015324193,0.005973567,0.005812019
13,4,0.029308673,0.016852483,0.027228061,0.033016097,0.70628333,0.04714975,0.029141996,0.077435896,0.0107207205,0.022862975
14,2,0.033113964,0.01422969,0.7551802,0.08266949,0.008574953,0.021891866,0.015007455,0.019758724,0.036254007,0.013319613
15,4,0.018824965,0.012073739,0.044410292,0.025930014,0.78349906,0.028594563,0.01763985,0.02610239,0.027207658,0.015717357
16,2,0.023131318,0.006292496,0.8489036,0.015618143,0.020305736,0.013200373,0.005940323,0.004282958,0.03168606,0.030639078
17,9,0.10244129,0.02233141,0.16023475,0.012497221,0.008465886,0.028310899,0.008563679,0.056377355,0.08427992,0.51649755
18,9,0.04492584,0.009462885,0.051183823,0.022116562,0.023259128,0.008005922,0.00512024,0.010788458,0.062767446,0.76236963
19,0,0.84803665,0.014744251,0.022385009,0.015960876,0.0068999613,0.031314492,0.010689198,0.016234236,0.01570394,0.018031416
20,7,0.019616943,0.23286518,0.047599006,0.02894997,0.012876036,0.032697972,0.019706627,0.45092708,0.13205926,0.022701927
21,8,0.01715687,0.033675503,0.014766811,0.047581527,0.02734156,0.004452827,0.014176097,0.014290471,0.8234086,0.0031496591
22,3,0.17337537,0.030263083,0.07053076,0.61059,0.032959882,0.004524776,0.0112477895,0.011531218,0.040211696,0.014765445
23,5,0.13458441,0.0075861933,0.06182809,0.026239026,0.046043757,0.6013863,0.011677372,0.05778953,0.02547241,0.027392926
24,2,0.04677528,0.01452158,0.7631698,0.031518113,0.015155927,0.034469135,0.014066235,0.012862565,0.046314422,0.021146929
25,2,0.016408361,0.0040330146,0.8581041,0.04594935,0.014482633,0.015563387,0.00873547,0.008502846,0.016445817,0.011774894
26,2,0.041591004,0.012015747,0.7647331,0.029493153,0.01821177,0.038837675,0.019927222,0.012947641,0.044285588,0.017957138
27,4,0.1814286,0.14373258,0.053168803,0.022214629,0.24239169,0.009657936,0.1525312,0.014848581,0.011737487,0.16828853
28,4,0.03325695,0.005987932,0.014615965,0.01459302,0.6134002,0.085000224,0.0052677123,0.19697125,0.014171167,0.016735598
29,9,0.02221617,0.008339326,0.023722015,0.019248372,0.04533339,0.022356229,0.0066103176,0.020867929,0.03483066,0.79647565
30,1,0.010546457,0.85072726,0.016892768,0.031126112,0.014592016,0.02249757,0.018053772,0.022812352,0.0047607445,0.007990879
31,0,0.48723722,0.010576668,0.060926437,0.34884152,0.027300086,0.009173242,0.013129519,0.014099068,0.023013832,0.005702435
32,0,0.50378203,0.0062272996,0.020660942,0.019408684,0.32778338,0.010813875,0.010059246,0.035291314,0.011984863,0.053988356
33,3,0.120240204,0.004132968,0.37254533,0.3895735,0.02665979,0.0067016534,0.0062705586,0.022568285,0.043270435,0.008037219
34,3,0.2292058,0.023886299,0.03210291,0.28343028,0.0048138686,0.16729069,0.011276975,0.013596875,0.056994613,0.17740163
35,6,0.009234316,0.014395667,0.013290492,0.026105467,0.027878629,0.012326531,0.86205554,0.018150516,0.009796608,0.006766264
36,3,0.009635196,0.020396326,0.13510653,0.7342966,0.025913693,0.0036524166,0.009075463,0.013399425,0.044253606,0.0042707673
37,2,0.026410911,0.004590965,0.7937918,0.044055782,0.0132635925,0.03211031,0.008683304,0.036483556,0.0073441323,0.033265676
38,8,0.009003981,0.011153989,0.013116578,0.023095554,0.010610723,0.010467277,0.0053430367,0.009424389,0.8899514,0.017833017
39,3,0.23054373,0.023828452,0.20153348,0.2744104,0.042725887,0.018073153,0.028203307,0.03229042,0.12928686,0.01910437
40,2,0.044488717,0.015140291,0.43574455,0.09549266,0.032097355,0.051604934,0.022936855,0.019120215,0.26589042,0.01748403
41,3,0.0063526346,0.01661073,0.44425762,0.45491338,0.008967561,0.0025500616,0.0065359813,0.022159867,0.029081523,0.008570685
42,7,0.010385427,0.006502713,0.016085694,0.009118198,0.014036528,0.008328673,0.0041371677,0.90452266,0.016186217,0.010696737
43,7,0.007998534,0.008969395,0.015609856,0.03651443,0.028236896,0.008940526,0.01419968,0.8520536,0.010011826,0.0174652
44,3,0.1849232,0.018829046,0.24051908,0.28816628,0.03908523,0.022371702,0.025371779,0.036023136,0.12976445,0.014946135
45,5,0.011438001,0.004683108,0.019219177,0.0058182287,0.007203918,0.900313,0.0032914276,0.018444749,0.015136646,0.014451618
46,7,0.007900319,0.004411284,0.008997062,0.0126003595,0.011496504,0.024143193,0.0047864835,0.9158979,0.0058550695,0.003911913
47,2,0.0314969,0.024260683,0.79097635,0.051696595,0.010437438,0.017686514,0.0103595285,0.009370002,0.035260446,0.018455582
48,7,0.030582944,0.09723434,0.031884808,0.06636446,0.037577968,0.0139754005,0.03464224,0.53000826,0.14662465,0.01110499
