ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.038490288,0.0062597534,0.0104623865,0.0060562557,0.87449116,0.012037184,0.013513219,0.01984255,0.0099786,0.008868606
1,5,0.028442089,0.005484881,0.009064142,0.0047987844,0.0071061784,0.92388666,0.00434352,0.0060748323,0.003163592,0.00763536
2,2,0.042616557,0.036995877,0.64457273,0.06584528,0.007871678,0.012777596,0.014294082,0.026786156,0.11428246,0.033957623
3,2,0.061724965,0.019803233,0.653085,0.057978574,0.029293573,0.028278917,0.046558794,0.02137907,0.032146342,0.049751554
4,3,0.18742469,0.06811818,0.14883716,0.27691126,0.044463743,0.044257287,0.056094162,0.056317937,0.08430391,0.033271648
5,8,0.02435103,0.0075190496,0.016896093,0.010186409,0.017628202,0.02043913,0.011414288,0.014996109,0.8628661,0.013703552
6,7,0.032135475,0.029081773,0.05468663,0.026691454,0.020033367,0.016103826,0.016600711,0.7417739,0.0373555,0.02553731
7,6,0.014157495,0.0068738754,0.007400758,0.011828387,0.012563617,0.012805578,0.89975286,0.013700442,0.006616612,0.014300471
8,7,0.028866153,0.009792836,0.0112051,0.014712907,0.13776663,0.02044301,0.027546465,0.7281181,0.009005574,0.0125431465
9,7,0.022559535,0.016810875,0.017098166,0.020457774,0.03996211,0.022478024,0.025470657,0.77799356,0.02730618,0.029863236
10,0,0.91673744,0.008197473,0.009167794,0.010947463,0.0057318634,0.011974596,0.00997285,0.0073351543,0.009197222,0.010738254
11,9,0.015025036,0.0043144403,0.009440362,0.009086325,0.010529271,0.010659845,0.011822475,0.008373844,0.0060725017,0.9146759
12,1,0.011198531,0.8495034,0.011721061,0.019071188,0.03151012,0.017794803,0.017594246,0.016139908,0.011886446,0.01358023
13,4,0.059965976,0.023009192,0.016440384,0.029294495,0.6900457,0.03673053,0.021086084,0.07737467,0.018258834,0.027794043
14,2,0.017995138,0.015862819,0.79301673,0.059874587,0.021526333,0.026682734,0.016479509,0.017537957,0.011422223,0.019601949
15,4,0.020785768,0.012786781,0.022656793,0.012077643,0.84440744,0.025486097,0.028240394,0.011949713,0.010432734,0.011176627
16,2,0.032255813,0.010674433,0.77730143,0.015519686,0.028542219,0.029124275,0.03147884,0.020995917,0.01401811,0.04008937
17,2,0.045794886,0.028594555,0.53331727,0.032636255,0.010601441,0.01114133,0.013603429,0.067752264,0.030259797,0.22629872
18,9,0.048715066,0.029375618,0.06448158,0.04625479,0.049963225,0.012731805,0.012474631,0.016708862,0.030816983,0.6884775
19,0,0.926197,0.008466529,0.0078808125,0.009443862,0.005214605,0.010604759,0.0077673676,0.006581479,0.008320723,0.00952293
20,1,0.01905851,0.4067524,0.055085175,0.10021646,0.033931643,0.018528815,0.023925541,0.214815,0.105782196,0.02190423
21,8,0.041163992,0.16621232,0.07438708,0.20363447,0.044709764,0.015666887,0.03752323,0.029504372,0.35790288,0.029295037
22,3,0.09308406,0.101320826,0.10412156,0.5469375,0.018637177,0.014330336,0.017550379,0.015087352,0.037909523,0.051021233
23,5,0.105820715,0.024929723,0.07039756,0.029988779,0.036321063,0.5718726,0.025053428,0.08803175,0.023325302,0.024259102
24,2,0.026149154,0.026705736,0.727477,0.02684048,0.026496967,0.04547981,0.03863661,0.019476673,0.014591486,0.048146147
25,2,0.01425871,0.0108582415,0.7715921,0.03643212,0.029555496,0.033214837,0.022449337,0.018675681,0.038705695,0.024257807
26,2,0.024647735,0.015941568,0.76355433,0.025537582,0.029402116,0.049466997,0.03485363,0.021401778,0.014150059,0.021044243
27,9,0.05808916,0.18138228,0.1834091,0.0675996,0.050845224,0.017816905,0.14393222,0.041535124,0.043896064,0.21149425
28,7,0.06381486,0.04851488,0.032031573,0.028101511,0.15947507,0.21285567,0.038096067,0.37629387,0.023986084,0.016830375
29,9,0.068221286,0.010998525,0.010152357,0.008966534,0.028762152,0.01914478,0.016395073,0.014775953,0.08970273,0.73288053
30,1,0.01289216,0.8574085,0.013062092,0.014751424,0.016008092,0.022583134,0.024664067,0.017973922,0.010289069,0.010367546
31,3,0.14038995,0.06909515,0.13781267,0.44296426,0.01704286,0.016406141,0.045953695,0.034278408,0.06746946,0.028587418
32,4,0.35527518,0.016737318,0.024147538,0.033564582,0.37071,0.030245401,0.028849542,0.046206646,0.027438179,0.066825606
33,2,0.18750931,0.021962086,0.26167747,0.21915494,0.035235677,0.078452334,0.039587,0.04126374,0.08113581,0.03402165
34,9,0.08463025,0.06117493,0.1787669,0.1341983,0.018280352,0.047310386,0.018997839,0.038014296,0.12288142,0.2957453
35,6,0.016038021,0.011131348,0.010436734,0.012393444,0.059865635,0.016495265,0.8372387,0.0142980395,0.010111935,0.011990849
36,3,0.020839913,0.031227158,0.09252918,0.765669,0.020160636,0.008054115,0.017533509,0.011529239,0.02333817,0.009119173
37,2,0.058010917,0.030042008,0.4458677,0.04973003,0.06667768,0.074446805,0.041882806,0.056075238,0.034714654,0.14255224
38,8,0.021666335,0.0075836163,0.015947632,0.010548542,0.018076073,0.01846442,0.010856499,0.014863704,0.8692765,0.012716668
39,3,0.20835984,0.06521592,0.16259578,0.241288,0.04932921,0.04430472,0.05923818,0.058556695,0.0779042,0.033207413
40,2,0.03598548,0.02132265,0.6286707,0.113085255,0.027396558,0.033098806,0.039752714,0.019715099,0.05372278,0.027249971
41,2,0.022463437,0.03756541,0.4850934,0.3401836,0.009388072,0.008475818,0.014475572,0.01898438,0.024353052,0.039017253
