ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.028238866,0.009029571,0.016284037,0.05569022,0.8521022,0.009622752,0.0045356294,0.008079492,0.011469307,0.004947962
1,5,0.04437256,0.004414121,0.015582728,0.004417022,0.01126228,0.81097966,0.0010600096,0.083660446,0.015261434,0.008989743
2,2,0.19480851,0.0014389836,0.7587715,0.0123915365,0.0042870915,0.009594061,0.00018634196,0.0019143499,0.012174923,0.0044327537
3,2,0.028534908,0.019718492,0.7901531,0.05639989,0.0071764644,0.05007403,0.00089431735,0.006335325,0.03856286,0.0021507414
4,0,0.7036461,0.0067091654,0.023343386,0.029735733,0.01052656,0.038038895,0.002911198,0.040152907,0.1229674,0.021968657
5,8,0.022472579,0.0055618086,0.023815649,0.013771596,0.0030719982,0.019402323,0.0005969695,0.021549232,0.87567234,0.014085465
6,7,0.016549328,0.0011114932,0.005907182,0.00195823,0.15253203,0.1937855,0.0014852728,0.6185746,0.0038100316,0.004286218
7,6,0.16635577,0.0025386794,0.010629355,0.042877488,0.004825952,0.012503095,0.73091733,0.01628403,0.0037351865,0.009333132
8,7,0.0028661648,0.0023733124,0.0037152756,0.008751639,0.03326389,0.0024586585,0.0041597704,0.93796885,0.0014456561,0.0029968005
9,7,0.050331593,0.008915393,0.022207854,0.00903583,0.011942344,0.048473407,0.0019074795,0.7941267,0.041466426,0.011592924
10,0,0.8854745,0.001986834,0.014343099,0.010428564,0.011031416,0.023899233,0.002326215,0.035009146,0.009174979,0.00632601
11,9,0.019336514,0.0076273223,0.0216811,0.01261868,0.06754934,0.08342539,0.002575464,0.0578354,0.008371692,0.71897906
12,1,0.00047351938,0.9780035,0.0008649439,0.0070209214,0.0050476254,0.0023365808,0.00053979375,0.0036848215,0.0017389588,0.00028929266
13,4,0.03921063,0.008849484,0.021052266,0.04841399,0.7070744,0.074353725,0.0026739975,0.06837926,0.021587776,0.008404479
14,2,0.006389807,0.008963238,0.7919134,0.07775266,0.003224568,0.033710588,0.00094387284,0.015681421,0.059225883,0.0021945615
15,4,0.02249616,0.005534133,0.02613696,0.013177672,0.849659,0.012165697,0.0021908188,0.034609325,0.027251557,0.0067785606
16,2,0.043476637,0.008683732,0.8400456,0.013889559,0.012665085,0.019030338,0.0010337364,0.0032027357,0.02537849,0.032594055
17,8,0.015034491,0.004820181,0.07755203,0.0061878567,0.0038735752,0.03663725,0.0004604382,0.101886004,0.470115,0.2834331
18,9,0.035237145,0.02412758,0.2047052,0.05580295,0.1611101,0.009914496,0.0016757932,0.0035277621,0.02435072,0.4795483
19,0,0.8057072,0.0102167595,0.020465901,0.012237046,0.03118339,0.017669918,0.0018953477,0.06409394,0.025063256,0.0114672
20,7,0.0041504065,0.009828898,0.056389723,0.042181686,0.08513226,0.009480761,0.049631868,0.724873,0.009645848,0.008685623
21,3,0.04424571,0.08965472,0.055865165,0.396555,0.04980272,0.08845258,0.005479211,0.02029576,0.21989565,0.029753463
22,3,0.0953344,0.0010537051,0.10511688,0.75827926,0.0033157996,0.00578257,0.0003846818,0.0022745014,0.016212372,0.012245811
23,5,0.10912347,0.011781911,0.047666807,0.004138746,0.013714842,0.66009754,0.016123943,0.12195026,0.007978707,0.007423803
24,2,0.010501208,0.012427704,0.86426723,0.027730692,0.00678158,0.022774186,0.0019168396,0.015664969,0.033542786,0.004392775
25,2,0.0129073365,0.002689595,0.8683424,0.013610195,0.006182996,0.06328722,0.00075384026,0.020583155,0.010289105,0.0013541634
26,2,0.016527556,0.004412692,0.893445,0.012496817,0.007327261,0.01912921,0.0012657191,0.011516867,0.03046587,0.0034129955
27,0,0.5629909,0.01621593,0.1050825,0.10268886,0.04886393,0.027196692,0.06917262,0.035315502,0.007123285,0.025349805
28,7,0.23686706,0.009567487,0.015148643,0.010494395,0.04362341,0.018210985,0.005310764,0.6317647,0.01720196,0.0118106315
29,4,0.010943134,0.0029085253,0.036925744,0.005638353,0.4191431,0.00513598,0.00013881335,0.006254089,0.28338757,0.2295247
30,1,0.00038962482,0.96742254,0.00079871976,0.016267534,0.0025621701,0.0031809108,0.0039537987,0.0031178815,0.0020353624,0.00027141298
31,3,0.042912383,0.001694979,0.03621471,0.8476965,0.049784996,0.0037500358,0.0009785179,0.010099536,0.0057315906,0.0011367098
32,0,0.7633405,0.0051662833,0.03764726,0.024680115,0.080877975,0.023633279,0.004041014,0.013127986,0.033673897,0.013811591
33,2,0.07045859,0.005086882,0.6491044,0.16565143,0.00860145,0.080837294,0.00037308017,0.0045853797,0.012654024,0.002647457
34,5,0.17425936,0.051140316,0.02164803,0.035634562,0.010690846,0.5136615,0.0022596836,0.008319554,0.068131804,0.1142543
35,6,0.0071048625,0.018337816,0.008309112,0.045917787,0.032090764,0.0125798,0.826521,0.036104083,0.009270696,0.0037640014
36,3,0.0069747833,0.056376986,0.07336457,0.76833993,0.014596253,0.023357084,0.0033096538,0.024702957,0.023573823,0.0054039336
37,2,0.022105867,0.0028385003,0.79870033,0.07361102,0.003176413,0.04035108,0.00045852,0.04820299,0.0068922266,0.0036630896
38,8,0.020505741,0.005551477,0.021586994,0.022628104,0.0047140275,0.019179381,0.0005512171,0.014841484,0.87798476,0.0124567775
39,0,0.71006876,0.004537781,0.018029358,0.026347626,0.009298982,0.014934453,0.0151204625,0.06022905,0.12740941,0.014024185
40,2,0.024266481,0.013738535,0.75994503,0.10575502,0.005691701,0.016218867,0.0011464359,0.004860564,0.0651627,0.0032146124
41,2,0.004477753,0.0070912223,0.5032105,0.3911641,0.037990753,0.007145344,0.0013560385,0.013665177,0.005655827,0.028243335
42,7,0.05833942,0.009057694,0.02006512,0.008923392,0.013385038,0.018235609,0.002013724,0.8187246,0.03742397,0.013831453
43,7,0.02893578,0.005872937,0.024965987,0.049387153,0.011193159,0.016000424,0.050905764,0.77566475,0.025245255,0.011828794
44,0,0.4243892,0.003141695,0.017741442,0.02430992,0.012919493,0.0385826,0.0037797864,0.14142254,0.31128624,0.022427022
45,5,0.017436668,0.0025962929,0.021385316,0.004539713,0.005341756,0.8318757,0.0012272787,0.08856022,0.008264743,0.01877225
46,7,0.008976243,0.03440953,0.011677819,0.041194502,0.04613855,0.014085868,0.003568399,0.813455,0.020327112,0.0061669783
47,2,0.0532241,0.003964876,0.8293947,0.06559857,0.0054698633,0.023290846,0.0004627902,0.0029653562,0.010233948,0.005395008
48,7,0.0036302945,0.020405225,0.016003681,0.059207935,0.04692776,0.0058300314,0.11356436,0.7188265,0.008912414,0.0066917506
49,7,0.036510523,0.009924648,0.020219702,0.017777225,0.041858707,0.018255545,0.009286376,0.8068136,0.022512602,0.016841173
50,9,0.006612093,0.03734517,0.020425158,0.06637657,0.26701382,0.0104188835,0.018622868,0.02678469,0.009023118,0.53737766
51,9,0.04800188,0.01071735,0.06745488,0.014900087,0.0031352395,0.042393945,0.0015270524,0.005316935,0.10801645,0.6985362
52,7,0.01054977,0.00042311422,0.009719889,0.37415773,0.0011537008,0.01600261,0.0013687509,0.5828006,0.00019577052,0.0036281073
53,6,0.0069501256,0.011537216,0.005529151,0.038742788,0.014818769,0.011584846,0.86370957,0.038924407,0.005670596,0.0025324835
54,5,0.007215713,0.012395467,0.031433903,0.039547972,0.004313748,0.45311028,0.01189474,0.41501167,0.010181437,0.014895124
