ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.051709183,0.01646507,0.015738368,0.048999503,0.7267482,0.041293524,0.01053727,0.015063362,0.050556242,0.02288917
1,5,0.31222525,0.008026706,0.016953278,0.016793583,0.008839225,0.42435166,0.004409391,0.1647843,0.025466891,0.018149702
2,2,0.21262565,0.01349116,0.6117356,0.024920717,0.0041419677,0.004103713,0.004839212,0.0078801885,0.08096887,0.035292994
3,2,0.017633237,0.032447614,0.60051256,0.07647701,0.037052877,0.085324176,0.017372483,0.013598282,0.084145375,0.03543635
4,0,0.39417526,0.05408245,0.05421078,0.28375566,0.010389864,0.012483482,0.008676737,0.014092971,0.15254094,0.015591815
5,8,0.009392226,0.0083057815,0.0053800014,0.011439057,0.017085087,0.010574512,0.0036175968,0.012789988,0.91789144,0.0035241765
6,7,0.04993265,0.016608438,0.027360566,0.029528223,0.0072132684,0.022874862,0.0063593346,0.77940536,0.052816022,0.007901347
7,6,0.05995907,0.0060798745,0.003377732,0.047232036,0.005369194,0.005041222,0.8528724,0.0049409587,0.007029792,0.008097794
8,7,0.018552246,0.015443022,0.0059653465,0.013602644,0.07764262,0.028394483,0.07502077,0.75249326,0.008995967,0.00388965
9,7,0.062490094,0.0056913937,0.02062129,0.011005464,0.026533483,0.018402886,0.007668821,0.8190853,0.019112952,0.009388293
10,0,0.83923936,0.011616391,0.029887032,0.02552274,0.0037306338,0.029933663,0.0062894053,0.014636321,0.022191012,0.016953347
11,9,0.013045345,0.005078171,0.021505661,0.19418374,0.006756446,0.012431267,0.009156591,0.013736534,0.03376514,0.6903412
12,1,0.004351628,0.9041116,0.011623335,0.030627629,0.01990062,0.007344275,0.009036018,0.004205965,0.0035962146,0.0052026412
13,4,0.020051342,0.026742117,0.020794116,0.11384194,0.5997238,0.08948065,0.024457658,0.05521247,0.023840312,0.02585558
14,2,0.006321197,0.008012257,0.85892105,0.040270425,0.010953734,0.026163928,0.0048639635,0.011300209,0.019165345,0.014027834
15,4,0.029910369,0.011252293,0.016511044,0.02719846,0.7679046,0.045381688,0.012327816,0.06693092,0.014842719,0.007740092
16,2,0.009331519,0.014147431,0.7453633,0.045821,0.022371415,0.025753355,0.0076673664,0.006864906,0.017479505,0.10520021
17,9,0.071154036,0.012896507,0.2945388,0.035645254,0.009078444,0.012987118,0.008206426,0.017548451,0.17234452,0.3656004
18,9,0.013411426,0.022217557,0.08927786,0.037155572,0.06794893,0.014043854,0.00785404,0.009355138,0.17078936,0.5679462
19,0,0.86012197,0.012077069,0.024071263,0.02773279,0.004323517,0.015682114,0.006000217,0.015548588,0.017843572,0.016599018
20,8,0.071122594,0.20880869,0.038610753,0.09472401,0.0037392236,0.017008947,0.015998803,0.19621316,0.2940035,0.059770305
21,8,0.017735282,0.04268922,0.010195972,0.04357371,0.016458683,0.0044611203,0.0069637992,0.0029150697,0.8479976,0.007009554
22,3,0.24425809,0.025549253,0.19860387,0.2826486,0.020389969,0.0211735,0.005510936,0.009688569,0.1605373,0.0316399
23,5,0.09840924,0.009309858,0.15606971,0.023425682,0.014987489,0.5452601,0.015642922,0.08694573,0.023659797,0.026289525
24,2,0.013032005,0.014156581,0.79668903,0.036964383,0.013532828,0.05331519,0.0054819216,0.008879918,0.02544532,0.03250274
25,2,0.005467421,0.0034063894,0.88800544,0.050974727,0.01134231,0.015298289,0.00279815,0.011804866,0.006843909,0.0040584723
26,2,0.012383606,0.012010773,0.83503616,0.023591297,0.014115088,0.042672735,0.0049899933,0.008069567,0.024833769,0.02229705
27,0,0.16849846,0.16094722,0.14706494,0.08316252,0.10730826,0.03637756,0.08533622,0.030117199,0.06701691,0.11417067
28,7,0.08413925,0.006240807,0.012258275,0.014474507,0.08612293,0.033251893,0.010493932,0.72269773,0.019700143,0.010620416
29,9,0.015111662,0.008754627,0.012213025,0.028462177,0.016102359,0.009705981,0.0069816886,0.011257852,0.08677875,0.80463195
30,1,0.0071199974,0.7821664,0.007838424,0.1335525,0.013474124,0.011340952,0.027563237,0.005102097,0.0064026136,0.0054396424
31,2,0.25593615,0.018403465,0.333609,0.20972282,0.052464075,0.018020535,0.0062637245,0.018661093,0.06500282,0.021916348
32,0,0.64143944,0.0074930815,0.0074613737,0.025547432,0.22103032,0.035211213,0.008536635,0.019569505,0.019275995,0.014435054
33,2,0.084471785,0.023181153,0.6531699,0.08680999,0.018869407,0.070738845,0.011204372,0.017004848,0.025582183,0.008967547
34,9,0.16232999,0.11089597,0.03719846,0.12236659,0.008974996,0.14540657,0.008707408,0.035407458,0.10249143,0.26622114
35,6,0.00927365,0.02260274,0.007865083,0.020872,0.069852434,0.02134301,0.81147283,0.015481083,0.0123358965,0.008901273
36,3,0.040556345,0.07337767,0.10987625,0.56349856,0.038205393,0.0053579775,0.012384455,0.012051971,0.13728724,0.007404097
