ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.032770667,0.045949668,0.036256116,0.07754528,0.6556503,0.017575169,0.025052639,0.021544063,0.06673406,0.020922046
1,5,0.04703857,0.012540286,0.031692196,0.01577519,0.016000161,0.79423857,0.011023619,0.015447427,0.038841937,0.017401963
2,2,0.060112134,0.0085716285,0.81178784,0.02519957,0.014832159,0.02118393,0.009894831,0.008195096,0.021691589,0.018531164
3,2,0.032344222,0.030399423,0.7053617,0.060871165,0.009905457,0.030682761,0.013109788,0.008203897,0.09104441,0.018077143
4,0,0.7706098,0.008577439,0.025063207,0.038951565,0.032892726,0.02502652,0.010295969,0.010992158,0.0579757,0.019614788
5,8,0.03474595,0.020946248,0.024333691,0.027319057,0.020956479,0.037771665,0.011590232,0.010010937,0.7829378,0.029387886
6,7,0.08484825,0.007095204,0.0151531445,0.010703297,0.03940996,0.019122662,0.0069647687,0.79176354,0.010787244,0.014151898
7,6,0.077103935,0.015234648,0.011244301,0.01714551,0.0106355,0.026323112,0.70730567,0.009088145,0.010792439,0.11512671
8,7,0.012969327,0.011490187,0.010012138,0.016579926,0.14329864,0.02834145,0.026262801,0.72986573,0.0069149164,0.0142649
9,7,0.09558956,0.030462882,0.072197735,0.037305683,0.053988695,0.058155205,0.015102327,0.500609,0.09013855,0.04645035
10,0,0.794779,0.010102974,0.019521592,0.015785925,0.020082353,0.058181196,0.017010415,0.031225896,0.018151755,0.015158955
11,9,0.031572156,0.009022415,0.043822892,0.04797166,0.016757613,0.070966795,0.004320555,0.012911398,0.023163624,0.739491
12,1,0.007176487,0.78228277,0.008060865,0.06331082,0.06775696,0.012509321,0.014237347,0.029303432,0.010932156,0.004429949
13,4,0.045995314,0.022936711,0.03765042,0.06603017,0.6835296,0.051807117,0.010697856,0.032975864,0.027856732,0.020520218
14,2,0.006319122,0.011128375,0.8456154,0.07781409,0.008624573,0.005405031,0.006154682,0.005122381,0.023549426,0.010266969
15,4,0.10694179,0.01974364,0.03944748,0.04253331,0.66834474,0.023218302,0.023780515,0.0109088,0.039630886,0.02545056
16,2,0.010973536,0.010349031,0.75442463,0.028666299,0.01328842,0.006089825,0.005421695,0.0059720376,0.045097042,0.11971752
17,9,0.22413184,0.0049083875,0.022846255,0.0066567603,0.0066893436,0.010249958,0.0059612575,0.048673507,0.02638269,0.6435
18,9,0.014485181,0.0068222983,0.053165995,0.04251718,0.3127461,0.015662214,0.0048141694,0.009055747,0.019021826,0.52170926
19,0,0.8158729,0.013290787,0.023138884,0.016581083,0.018588077,0.0306503,0.010250285,0.028600624,0.02229051,0.020736499
20,7,0.011732338,0.039419595,0.011227922,0.022653354,0.08622652,0.040509872,0.016707616,0.75035924,0.010323463,0.010840048
21,4,0.02121167,0.11494951,0.024106495,0.11562503,0.41944256,0.02203512,0.018447025,0.018519226,0.23368302,0.011980288
22,3,0.025842581,0.009031822,0.22488694,0.5604184,0.015244084,0.012332986,0.009784819,0.0077328742,0.027819969,0.10690551
23,5,0.25834066,0.007061587,0.01627501,0.011229417,0.07688917,0.51982796,0.011044531,0.06554239,0.01571278,0.01807647
24,2,0.01794024,0.012579464,0.75431925,0.022045331,0.007366255,0.038088594,0.008322641,0.0071745664,0.08710588,0.045057733
25,2,0.015183852,0.009632611,0.84701365,0.0486089,0.012711385,0.008295724,0.007214492,0.0070336177,0.019250501,0.02505534
26,2,0.013906777,0.013624483,0.8027476,0.026897794,0.007314057,0.03895494,0.0077705816,0.008943886,0.06446146,0.015378375
27,9,0.059025798,0.009515303,0.0760594,0.009561879,0.017621368,0.013736945,0.16443424,0.030306088,0.008194698,0.61154425
28,7,0.091241404,0.0030172,0.00512742,0.0028454904,0.1020858,0.09750611,0.0055603296,0.6814692,0.0041523115,0.0069946772
29,9,0.020337319,0.008926026,0.015183681,0.009290667,0.018567136,0.01833291,0.006219211,0.008753381,0.16990854,0.72448105
30,1,0.0050969548,0.8471896,0.005441599,0.05249272,0.026872912,0.011926239,0.018485256,0.021962505,0.007279692,0.003252502
31,3,0.041241296,0.0050247884,0.097534254,0.58878154,0.21428633,0.006983044,0.008870603,0.011603392,0.0057722116,0.019902557
32,0,0.44508478,0.0075836848,0.016007693,0.011803334,0.34663236,0.028488073,0.008618654,0.09940888,0.011164264,0.025208244
33,2,0.03208207,0.010204099,0.78490514,0.079987586,0.020774513,0.03424511,0.0071935155,0.0073641054,0.0102941785,0.012949675
34,5,0.031704713,0.027979312,0.017629107,0.014629324,0.010465321,0.5730636,0.007830513,0.0036061378,0.21164344,0.10144851
35,6,0.007134582,0.054898225,0.010985699,0.058696236,0.062757,0.011412169,0.7664056,0.009045418,0.011936515,0.006728552
