ID,TARGET,0,1,2,3,4,5,6,7,8,9
0,4,0.002955342,0.009319058,0.0024862397,0.21128096,0.74625653,0.0011005121,0.0051244283,0.0018121403,0.019054042,0.000610671
1,5,0.018092958,0.005275512,0.014649066,0.008855656,0.008432243,0.90762424,0.00331097,0.0086765,0.016363807,0.008719015
2,2,0.11316463,0.0063298047,0.8293694,0.0067443266,0.001508403,0.004260761,0.00040083445,0.0021994363,0.03242854,0.0035938914
3,2,0.055509128,0.011394609,0.83223945,0.033524834,0.0047569037,0.012357725,0.0017489995,0.00084787677,0.04406512,0.0035554403
4,0,0.575489,0.0060643544,0.010498794,0.067839384,0.0033662207,0.1643771,0.0039165453,0.015589087,0.069082096,0.08377741
5,8,0.008083345,0.004901446,0.00093696045,0.0010203017,0.0039924225,0.013640269,0.00088633265,0.0073804166,0.95823765,0.00092099083
6,7,0.05596274,0.009870668,0.014459401,0.009315659,0.007683301,0.004480345,0.0016385961,0.84782594,0.034757428,0.014005847
7,6,0.05626246,0.002327516,0.018546052,0.035778876,0.0016577519,0.0028368079,0.86207217,0.00066253624,0.0109392535,0.008916589
8,7,0.0007897565,0.0044497284,0.0006300851,0.0007341072,0.0022569834,0.00068702514,0.016064007,0.9719505,0.0004697558,0.0019681226
9,7,0.008271364,0.0062013255,0.0552509,0.014402976,0.007803727,0.01623462,0.0024098097,0.8417563,0.028958404,0.018710583
10,0,0.891582,0.002131062,0.015730696,0.012160046,0.0025150264,0.016361384,0.0035258022,0.012876479,0.032698702,0.0104188295
11,9,0.023412496,0.0034134907,0.013743543,0.017568346,0.0035882855,0.022878267,0.0036969876,0.005044136,0.019875642,0.8867789
12,1,0.0010787247,0.95517343,0.00034277802,0.0053672325,0.013213626,0.0073878528,0.0008162013,0.009056889,0.007556259,7.067042e-06
13,4,0.040730443,0.0069793765,0.0120261945,0.020931942,0.72426003,0.10806838,0.0030582608,0.073086865,0.005281001,0.005577479
14,2,0.009817096,0.00066348334,0.8521233,0.09293459,0.0010852542,0.0089587215,0.0013615333,0.001039904,0.028480247,0.0035359296
15,4,0.027085595,0.002435719,0.026130304,0.015796673,0.868029,0.021654757,0.0042985226,0.015864866,0.015003552,0.003701037
16,2,0.025922734,0.0040835664,0.8178481,0.011675181,0.012858796,0.007823383,0.001214619,0.0025266956,0.021046298,0.09500069
17,9,0.18907973,0.0039544282,0.033745393,0.0027511194,0.0017793255,0.01421288,0.0009592679,0.042485476,0.21714184,0.49389058
18,9,0.0062799915,0.003368523,0.0064254203,0.032448515,0.008707536,0.021534642,0.002399038,0.013752417,0.030216524,0.8748674
19,0,0.88918316,0.003680428,0.011065461,0.010738558,0.0025927688,0.049886286,0.0021147218,0.0071703503,0.017217917,0.006350373
20,7,0.002314215,0.26997498,0.022542108,0.014701194,0.007894164,0.0025339476,0.009022463,0.6443616,0.023566425,0.0030888866
21,8,0.0072546545,0.21013767,0.005452827,0.1405213,0.013253527,0.019101297,0.001996077,0.009085185,0.5928999,0.00029756222
22,3,0.02051159,0.0038737273,0.08327943,0.7584774,0.000943255,0.0010628443,0.00057052105,0.00066568964,0.120454125,0.010161412
23,5,0.024401203,0.0006797025,0.036354166,0.015727771,0.0014284923,0.8624274,0.028023347,0.0073180664,0.008469949,0.015169931
24,2,0.042206727,0.004384245,0.6754155,0.015857162,0.0053021247,0.042763643,0.0028750855,0.003636789,0.06557506,0.14198358
25,2,0.017166942,0.00035029912,0.9305097,0.0111573925,0.0018441705,0.014405343,0.0011748567,0.0021113304,0.015428002,0.005852015
26,2,0.054366395,0.0023776765,0.82306147,0.013143418,0.004668128,0.07061574,0.0014021511,0.002874156,0.017303828,0.010187052
27,2,0.037774246,0.06663877,0.42906144,0.03423127,0.0068029664,0.109195694,0.013019418,0.008179413,0.04909616,0.24600054
28,7,0.067971274,0.0026200209,0.009144206,0.005261961,0.0479864,0.09219821,0.002790408,0.75711024,0.007666647,0.0072506387
29,9,0.007979542,0.0011816212,0.002097649,0.00063054997,0.017980497,0.004149794,0.0007390417,0.0067191664,0.08619911,0.87232304
30,1,0.00047103656,0.9690642,0.00013752306,0.0077176685,0.002874028,0.0047733453,0.0013015552,0.0054215565,0.008237214,2.0124926e-06
31,3,0.037876554,0.0009827818,0.30654275,0.5704082,0.0065196115,0.031527575,0.0013342086,0.0010605907,0.040571578,0.003176208
32,0,0.67063284,0.0002993236,0.018901786,0.015325573,0.06556543,0.18994875,0.003470826,0.019648703,0.0060011167,0.010205626
33,2,0.02039353,0.0003324313,0.72679096,0.120318815,0.0013806602,0.12817384,0.00033093872,0.00082477747,0.00054499775,0.00090906065
34,9,0.03778508,0.010939282,0.007766334,0.008623101,0.00023205405,0.32527077,0.00052079407,0.0007318288,0.21609387,0.39203686
35,6,0.0022058098,0.069381356,0.00503176,0.043968625,0.049799047,0.00401359,0.79478943,0.003142648,0.027329206,0.00033850054
36,3,0.0036276374,0.03281727,0.009744547,0.93147236,0.0041895034,0.0069902106,0.00062212994,0.0021249112,0.008130752,0.0002808072
37,2,0.13524708,0.0004880765,0.6510173,0.0016141545,0.0012091828,0.19121999,0.00021990824,0.012840464,0.00054324465,0.00560056
38,8,0.0035976064,0.0044989106,0.0005946533,0.00085429254,0.0047168843,0.008992984,0.00043927575,0.008494167,0.96725,0.00056119484
39,0,0.5952514,0.013699267,0.011918096,0.061398353,0.0037160711,0.08096029,0.0069326633,0.06388769,0.025884258,0.13635194
